date,tweet_count,neg,neu,pos,nlp_tweet_count,not_polarized,polarized,anger,disgust,fear,joy,neutral,sadness,surprise,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness,tesla,tsla,stock,market,price,profit,loss,revenue,inflation,interest,bitcoin,dogecoin,crypto,ethereum,spacex,model,cybertruck,starship,buy,sell,arts_&_culture,business_&_entrepreneurs,celebrity_&_pop_culture,diaries_&_daily_life,family,fashion_&_style,film_tv_&_video,fitness_&_health,food_&_dining,gaming,learning_&_educational,music,news_&_social_concern,other_hobbies,relationships,science_&_technology,sports,travel_&_adventure,youth_&_student_life
2015-02-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,0.0316455696202531,0.28966865,0.6536131,0.05671828,0.0234375,1.0,0.0,0.048177764,0.014778985,0.054292314,0.007139171,0.5963285,0.1262188,0.15306452,0.46695024,0.5433636,0.49496976,0.35677642,0.5037805,,,,,,,,,,,,,,,,,,,,,0.014272751,0.0103212,0.002650263,0.028773177,0.0010319978,0.00068577833,0.008636883,0.0008644179,0.0007939989,0.0010894953,0.014657532,0.0011167012,0.7494018,0.009349329,0.0012168203,0.14602946,0.0012117366,0.004346247,0.0035503737
2015-02-11,0.0822784810126582,0.03736574,0.46973053,0.49290374,0.0859375,0.5,0.5,0.025875973,0.008026264,0.07646348,0.12071493,0.52822095,0.08667644,0.15402193,0.476262,0.5370481,0.46215487,0.32001594,0.50316095,,,,,,,,,,,,,,,,,,,,,0.0056005702,0.011339732,0.008163637,0.08285765,0.0016551787,0.0010872507,0.015024462,0.0013864675,0.0015766561,0.004000623,0.0075813425,0.00568649,0.3784553,0.021445945,0.0027783148,0.41563118,0.024506882,0.00895634,0.0022660296
2015-02-12,0.0126582278481012,0.08834962,0.8037695,0.10788086,0.0078125,1.0,0.0,0.02867951,0.005210518,0.84504074,0.00545061,0.038726926,0.024358848,0.052532837,0.4298491,0.54718864,0.43518037,0.27075118,0.5214271,,,,,,,,,,,,,,,,,,,,,0.022016255,0.0038789501,0.008595025,0.5685886,0.0063648936,0.002739818,0.02644256,0.0016556698,0.0046788,0.012934331,0.0041763117,0.012349461,0.019168064,0.021342656,0.009051421,0.006524961,0.017837832,0.24877252,0.0028819505
2015-02-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,0.0063291139240506,0.0018582854,0.072586924,0.9255548,0.0,0.0,1.0,0.0137792695,0.0009352276,0.0021373462,0.5777141,0.062798664,0.013872637,0.32876286,0.5441269,0.53842664,0.4204095,0.27470288,0.500065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009533279,0.67656446,0.0024159907,0.013696856,0.0019485349,0.011670452,0.01135852,0.0006903997,0.0029749975,0.013919772,0.009693454,0.0035087415,0.0020323796,0.07857167,0.002125413,0.13851744,0.004453105,0.014360231,0.0019643607
2015-02-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,0.0063291139240506,0.0017650336,0.016245194,0.98198974,0.0,0.0,1.0,0.003966903,0.0017615191,0.000822493,0.91458917,0.02805571,0.002427264,0.048376895,0.5372349,0.5614663,0.41299805,0.27948686,0.53736943,,,,,,,,,,,,,,,,,,,,,0.05705107,0.020675082,0.0023382492,0.04893533,0.0054030507,0.0012884459,0.011898391,0.0024006227,0.0015884174,0.0014626329,0.6255902,0.001388793,0.09690807,0.042711604,0.004533703,0.024939472,0.00055094395,0.0077666845,0.04256922
2015-02-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,0.0189873417721519,0.20729436,0.6281779,0.16452777,0.015625,1.0,0.0,0.016261358,0.009764682,0.007940493,0.021934628,0.71266824,0.0768719,0.15455867,0.40166226,0.5069409,0.51341754,0.39821395,0.4379239,,,,,,,,,,,,,,,,,,,,,0.0014933199,0.0050006136,0.002268819,0.0047710985,0.0004919092,0.0003759102,0.010431208,0.0008704527,0.00072784227,0.0017418746,0.0063355193,0.001291648,0.48227683,0.003237212,0.00050459587,0.46664754,0.0026619944,0.006938845,0.0019327953
2015-03-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-07,0.0126582278481012,0.0076535577,0.89773536,0.09461107,0.0,1.0,0.0,0.023521224,0.021575985,0.012526875,0.076909974,0.786768,0.004587162,0.07411078,0.5543677,0.55437124,0.40497702,0.26839885,0.5583149,,,,,,,,,,,,,,,,,,,,,0.003990572,0.033330586,0.0041090483,0.0026010063,0.0006733519,0.00068082963,0.017765138,0.0005963636,0.0012349366,0.0013219882,0.01086822,0.0022336298,0.15916981,0.007617975,0.0005936405,0.7451859,0.0006393979,0.0054320246,0.001955529
2015-03-08,0.0126582278481012,0.037614573,0.65717113,0.30521423,0.0078125,1.0,0.0,0.006217126,0.0070292098,0.004351805,0.0021705045,0.95341676,0.0057824478,0.021032028,0.4918297,0.5418905,0.49172834,0.36819515,0.5005617,,,,,,,,,,,,,,,,,,,,,0.00027248057,0.021420032,0.0005089964,0.0011351242,0.0001379222,0.00012200691,0.001256846,0.00032791198,0.00030656438,0.00037096645,0.0014721595,0.00022502911,0.861725,0.0013106914,0.00015278612,0.107069515,0.00022637182,0.0014668684,0.0004926928
2015-03-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,0.0126582278481012,0.05070809,0.86458933,0.08470261,0.0078125,1.0,0.0,0.029152384,0.0139348665,0.32224083,0.0060151443,0.4762875,0.050972153,0.10139719,0.55569535,0.51784796,0.4603036,0.3260335,0.54817975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0070134783,0.030591061,0.043366924,0.012190642,0.0019625586,0.120136656,0.07658294,0.0015727069,0.0028723192,0.08070293,0.0033721924,0.0006388793,0.0079300655,0.010082554,0.0018722203,0.002999373,0.576436,0.01621897,0.0034575106
2015-03-12,0.0316455696202531,0.57868016,0.37724409,0.044075727,0.03125,0.8,0.2,0.18732594,0.2554192,0.030124694,0.0030531809,0.26812315,0.01737998,0.23857383,0.4977223,0.54976547,0.46152526,0.33512068,0.50650537,,,,,,,,,,,,,,,,,,,,,0.048688356,0.012575833,0.009183315,0.48272592,0.0043565533,0.0025755616,0.013832683,0.0014197014,0.002000103,0.0037152723,0.052841492,0.006474598,0.028376807,0.073785394,0.0094840415,0.096695155,0.0025387974,0.14294009,0.0057903496
2015-03-13,0.0253164556962025,0.099790834,0.52919453,0.3710146,0.0234375,0.75,0.25,0.0074605844,0.006693879,0.0053594224,0.013278425,0.47461903,0.007991488,0.48459715,0.50604314,0.545752,0.46183884,0.33085665,0.5242222,,,,,,,,,,,,,,,,,,,,,0.2855812,0.0155465035,0.011018942,0.07048242,0.0052420255,0.0057719615,0.030773923,0.002416954,0.004245371,0.004046414,0.04809414,0.011979796,0.02048561,0.08926832,0.004642407,0.27616173,0.0041021756,0.103704795,0.006435301
2015-03-14,0.0063291139240506,0.004634572,0.3579348,0.6374306,0.0,0.0,1.0,0.02621028,0.027753241,0.12663727,0.11000406,0.52323806,0.010791667,0.17536542,0.5478201,0.5488164,0.38939357,0.283291,0.53690183,,,,,,,,,,,,,,,,,,,,,0.00040970303,0.9059332,0.0025844835,0.00038045013,0.00025459914,0.0007628514,0.0019682462,0.0004490097,0.0004080439,0.0003726399,0.0011281248,0.0006867827,0.06737279,0.0016223097,0.00021000173,0.014209651,0.00039346833,0.0005437854,0.00030988952
