asset,target,phase,accuracy_no_twitter,accuracy_all,f1_score_no_twitter,f1_score_all,accuracy_diff,f1_score_diff
nasdaq,change_stockprice,full,0.4725848563968668,0.5691906005221932,0.2836879432624113,0.7058823529411765,0.09660574412532635,0.4221944096787652
nasdaq,change_stockprice,phase1,0.5299145299145299,0.5555555555555556,0.6583850931677019,0.6338028169014085,0.02564102564102566,-0.02458227626629339
nasdaq,change_stockprice,phase2,0.4651162790697674,0.5174418604651163,0.5208333333333334,0.5743589743589743,0.05232558139534893,0.053525641025640947
nasdaq,change_stockprice,phase3,0.4482758620689655,0.5517241379310345,0.5,0.4,0.10344827586206895,-0.09999999999999998
nasdaq,change_stockprice,phase4,0.44,0.52,0.5882352941176471,0.3333333333333333,0.08000000000000002,-0.25490196078431376
nasdaq,change_volatility,full,0.5535248041775457,0.5143603133159269,0.64,0.6725352112676056,-0.03916449086161877,0.03253521126760561
nasdaq,change_volatility,phase1,0.5641025641025641,0.5299145299145299,0.6330935251798561,0.60431654676259,-0.03418803418803418,-0.02877697841726612
nasdaq,change_volatility,phase2,0.4593023255813953,0.5116279069767442,0.5279187817258884,0.5882352941176471,0.05232558139534893,0.060316512391758725
nasdaq,change_volatility,phase3,0.5862068965517241,0.5517241379310345,0.7391304347826086,0.5411764705882353,-0.03448275862068961,-0.1979539641943734
nasdaq,change_volatility,phase4,0.68,0.68,0.8,0.8095238095238095,0.0,0.00952380952380949
nasdaq,change_volume,full,0.5456919060052219,0.5378590078328982,0.3602941176470588,0.5755395683453237,-0.007832898172323688,0.2152454506982649
nasdaq,change_volume,phase1,0.5982905982905983,0.4957264957264957,0.6050420168067226,0.549618320610687,-0.10256410256410259,-0.0554236961960356
nasdaq,change_volume,phase2,0.5348837209302325,0.5581395348837209,0.696969696969697,0.6859504132231405,0.023255813953488413,-0.011019283746556474
nasdaq,change_volume,phase3,0.4942528735632184,0.5057471264367817,0.6615384615384615,0.6666666666666666,0.01149425287356326,0.00512820512820511
nasdaq,change_volume,phase4,0.44,0.48,0.6111111111111112,0.6285714285714286,0.03999999999999998,0.0174603174603174
sp500,change_stockprice,full,0.4908616187989556,0.5065274151436031,0.453781512605042,0.6037735849056604,0.015665796344647487,0.14999207230061834
sp500,change_stockprice,phase1,0.4700854700854701,0.5982905982905983,0.5694444444444444,0.745945945945946,0.1282051282051282,0.17650150150150157
sp500,change_stockprice,phase2,0.5465116279069767,0.5290697674418605,0.5185185185185185,0.5803108808290155,-0.0174418604651162,0.06179236231049701
sp500,change_stockprice,phase3,0.5172413793103449,0.5402298850574713,0.6440677966101694,0.5555555555555556,0.02298850574712641,-0.08851224105461386
sp500,change_stockprice,phase4,0.6,0.56,0.6875,0.5925925925925926,-0.039999999999999925,-0.09490740740740744
sp500,change_volatility,full,0.5430809399477807,0.5535248041775457,0.691358024691358,0.7005253940455342,0.010443864229764954,0.00916736935417617
sp500,change_volatility,phase1,0.5470085470085471,0.5299145299145299,0.4854368932038835,0.5925925925925926,-0.017094017094017144,0.10715569938870906
sp500,change_volatility,phase2,0.5290697674418605,0.5348837209302325,0.6639004149377593,0.6694214876033058,0.005813953488371992,0.005521072665546467
sp500,change_volatility,phase3,0.632183908045977,0.6436781609195402,0.7681159420289855,0.7769784172661871,0.011494252873563204,0.008862475237201628
sp500,change_volatility,phase4,0.56,0.4,0.7027027027027027,0.5161290322580645,-0.16000000000000003,-0.18657367044463824
sp500,change_volume,full,0.5456919060052219,0.5326370757180157,0.4629629629629629,0.6083150984682714,-0.01305483028720622,0.14535213550530846
sp500,change_volume,phase1,0.5555555555555556,0.5555555555555556,0.6231884057971014,0.6060606060606061,0.0,-0.017127799736495364
sp500,change_volume,phase2,0.4767441860465116,0.5116279069767442,0.6311475409836066,0.5483870967741935,0.03488372093023262,-0.08276044420941309
sp500,change_volume,phase4,0.4,0.72,0.5714285714285714,0.5333333333333333,0.31999999999999995,-0.03809523809523807
tesla,change_stockprice,full,0.4934725848563969,0.4960835509138381,0.6380597014925373,0.3987538940809969,0.002610966057441211,-0.23930580741154045
tesla,change_stockprice,phase1,0.4358974358974359,0.4615384615384615,0.4590163934426229,0.3505154639175257,0.025641025641025605,-0.10850092952509721
tesla,change_stockprice,phase2,0.4825581395348837,0.5581395348837209,0.3776223776223776,0.6576576576576577,0.07558139534883723,0.2800352800352801
tesla,change_stockprice,phase3,0.5287356321839081,0.5862068965517241,0.1276595744680851,0.4857142857142857,0.05747126436781602,0.3580547112462006
tesla,change_stockprice,phase4,0.48,0.44,0.6486486486486487,0.5625,-0.03999999999999998,-0.08614864864864868
tesla,change_volatility,full,0.4778067885117493,0.464751958224543,0.408284023668639,0.4730077120822622,-0.013054830287206276,0.06472368841362325
tesla,change_volatility,phase1,0.452991452991453,0.5384615384615384,0.4754098360655737,0.6785714285714286,0.08547008547008544,0.20316159250585492
tesla,change_volatility,phase2,0.436046511627907,0.4651162790697674,0.4921465968586387,0.4588235294117647,0.029069767441860406,-0.03332306744687402
tesla,change_volatility,phase3,0.5517241379310345,0.5287356321839081,0.7111111111111111,0.6917293233082706,-0.02298850574712641,-0.0193817878028405
tesla,change_volatility,phase4,0.6,0.44,0.7368421052631579,0.4166666666666667,-0.15999999999999998,-0.32017543859649117
tesla,change_volume,full,0.4595300261096606,0.5013054830287206,0.629695885509839,0.59958071278826,0.04177545691905998,-0.030115172721579042
tesla,change_volume,phase1,0.5128205128205128,0.5641025641025641,0.6013986013986014,0.6046511627906976,0.05128205128205132,0.003252561392096287
tesla,change_volume,phase2,0.4709302325581395,0.4883720930232558,0.6127659574468085,0.6302521008403361,0.01744186046511631,0.01748614339352761
tesla,change_volume,phase3,0.5517241379310345,0.5402298850574713,0.7111111111111111,0.375,-0.011494252873563204,-0.33611111111111114
tesla,change_volume,phase4,0.52,0.52,0.6842105263157895,0.5,0.0,-0.1842105263157895
