asset,target,phase,use_twitter,mse,mae,accuracy,f1
bitcoin,change_stockprice,phase2,True,14.64200054468419,2.6955409916821695,0.5,0.635593220338983
bitcoin,change_stockprice,phase3,True,8.529262058076593,2.279212835137786,0.5747126436781609,0.6262626262626263
bitcoin,change_stockprice,phase4,True,9.913802066664758,2.4456563867628573,0.72,0.7586206896551724
bitcoin,change_stockprice,full,True,9.3514983049935,2.3124687542127296,0.49869451697127937,0.5294117647058824
bitcoin,change_volume,phase1,True,919.774951997889,23.665012620644184,0.5726495726495726,0.7282608695652174
bitcoin,change_volume,phase2,True,999.2249562666832,24.18676924597212,0.5406976744186046,0.6996197718631179
bitcoin,change_volume,phase3,True,2462.7956988724136,33.5429102294147,0.6206896551724138,0.6451612903225806
bitcoin,change_volume,phase4,True,3606.6738353492833,52.12774550437927,0.44,0.5882352941176471
bitcoin,change_volume,full,True,2772.3182630919064,34.28678127379198,0.5404699738903395,0.6764705882352942
bitcoin,change_volatility,phase1,True,16.98585463305976,2.519951032590384,0.5128205128205128,0.6705202312138728
bitcoin,change_volatility,phase2,True,38.572844640794784,3.1843765886828064,0.48255813953488375,0.6509803921568628
bitcoin,change_volatility,phase3,True,24.367495655394254,3.281114306632729,0.5402298850574713,0.7014925373134329
bitcoin,change_volatility,phase4,True,23.944257080898005,3.0449509755149484,0.36,0.3333333333333333
bitcoin,change_volatility,full,True,32.96260916087839,3.252044480182285,0.5404699738903395,0.6704119850187266
