asset,target,phase,use_twitter,mse,mae,accuracy,f1
bitcoin,change_volatility,phase2,False,50.93216675800059,4.334640846959976,0.47093023255813954,0.4484848484848485
bitcoin,change_volatility,phase3,False,296.63178667329976,14.40972589631325,0.5360824742268041,0.6666666666666666
bitcoin,change_volatility,phase4,False,26.62411939676667,2.986803156323731,0.42424242424242425,0.0
bitcoin,change_volatility,full,False,165.8735780728882,8.575267199447646,0.4713216957605985,0.4175824175824176
tesla,change_stockprice,phase1,True,10.334947174138776,2.5449057412703358,0.5079365079365079,0.03125
tesla,change_stockprice,phase2,True,21.129048988217317,3.6611320883425518,0.5174418604651163,0.49079754601226994
tesla,change_stockprice,phase3,True,29.70095006778264,4.13776880838265,0.4845360824742268,0.07407407407407407
tesla,change_stockprice,phase4,True,20.79330695339279,3.293047403832051,0.5151515151515151,0.6666666666666666
tesla,change_stockprice,full,True,21.73020594391569,3.4538381353666323,0.516209476309227,0.5889830508474576
tesla,change_volume,phase1,True,1834.7907252083303,33.395739880198285,0.5555555555555556,0.6410256410256411
tesla,change_volume,phase2,True,762.3197737135146,21.56440380120347,0.5872093023255814,0.6502463054187192
tesla,change_volume,phase3,True,1202.4925899192092,23.435481998250946,0.6185567010309279,0.672566371681416
tesla,change_volume,phase4,True,2955.4762366742207,34.256242464889176,0.5454545454545454,0.0
tesla,change_volume,full,True,930.3426463543905,21.747184030783067,0.5885286783042394,0.6135831381733021
tesla,change_volatility,phase1,True,26.711451072761925,3.354323553692897,0.49206349206349204,0.5616438356164384
tesla,change_volatility,phase2,True,22.298458480791396,3.3855128396562364,0.5116279069767442,0.373134328358209
tesla,change_volatility,phase3,True,44.933073999347265,3.7709386975878907,0.5567010309278351,0.5904761904761905
tesla,change_volatility,phase4,True,58.05334585222869,3.6461745979207936,0.6060606060606061,0.6060606060606061
tesla,change_volatility,full,True,44.12676079534831,3.188509560594837,0.5610972568578554,0.5981735159817352
sp500,change_stockprice,phase1,True,3.6004755638754435,1.5314914619527935,0.6111111111111112,0.7586206896551724
sp500,change_stockprice,phase2,True,3.190512712595158,1.4144472528064926,0.4883720930232558,0.5849056603773585
sp500,change_stockprice,phase3,True,2.9175524110698223,1.047816840215279,0.5257731958762887,0.6617647058823529
sp500,change_stockprice,phase4,True,0.6402362468084121,0.6402761490034843,0.5151515151515151,0.68
sp500,change_stockprice,full,True,1.514093948624542,0.7740845801497455,0.5461346633416458,0.6904761904761905
sp500,change_volume,phase1,True,530.3658042600794,17.319459200873677,0.5,0.2222222222222222
sp500,change_volume,phase2,True,282.2236414543917,11.82937406622913,0.5174418604651163,0.5202312138728323
sp500,change_volume,phase4,True,439.0513351947422,15.644267627687166,0.48484848484848486,0.37037037037037035
sp500,change_volume,full,True,289.8207269247207,11.60744572949231,0.5536159600997507,0.6629001883239172
sp500,change_volatility,phase1,True,84.97114126001507,6.202255075797439,0.40476190476190477,0.13793103448275862
sp500,change_volatility,phase2,True,14.86348175837545,2.7014231692906874,0.5174418604651163,0.4645161290322581
sp500,change_volatility,phase3,True,64.72931757891598,4.643863248014727,0.4536082474226804,0.6015037593984962
sp500,change_volatility,phase4,True,64.47613360984306,3.8656298907925235,0.5454545454545454,0.6511627906976745
