date,tweet_count,neg,neu,pos,nlp_tweet_count,share_neutral,share_polarized,anger,disgust,fear,joy,neutral,sadness,surprise,Agreeableness,Conscientiousness,Extroversion,Neuroticism,Openness
2015-02-28,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02,3,0.20729436,0.6281779,0.16452777,3,1.0,0.0,0.016261358,0.009764682,0.007940493,0.021934628,0.71266824,0.0768719,0.15455867,0.20199713258066357,0.15667185046623014,0.1580285410308907,0.19944898685748236,0.17229518899673987
2015-03-03,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-07,2,0.118961476,0.8193928,0.06164565,2,1.0,0.0,0.054195486,0.0035194028,0.029229574,0.07430848,0.65913427,0.025342675,0.15427005,0.1649581436620861,0.10843057536130628,0.22420038356347646,0.21571030213170866,0.21767824330755786
2015-03-08,2,0.037614573,0.65717113,0.30521423,2,1.0,0.0,0.006217126,0.0070292098,0.004351805,0.0021705045,0.95341676,0.0057824478,0.021032028,0.19346381249197217,0.14486136280055278,0.1935036912023068,0.21319943057010107,0.1969391775740703
2015-03-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
