date,bitcoin_stockprice_sma_5,bitcoin_stockprice_sma_10,bitcoin_stockprice_sma_20,bitcoin_stockprice_sma_50,bitcoin_stockprice_sma_100,bitcoin_stockprice_ema_12,bitcoin_stockprice_ema_26,bitcoin_stockprice_macd_line,bitcoin_stockprice_macd_signal,bitcoin_stockprice_macd_hist,bitcoin_stockprice_rsi_14,bitcoin_stockprice_bb_mean_20,bitcoin_stockprice_bb_upper_20,bitcoin_stockprice_bb_lower_20,bitcoin_atr_14,bitcoin_pdi_14,bitcoin_mdi_14,bitcoin_dx_14,bitcoin_adx_14,bitcoin_stoch_k_14,bitcoin_stoch_d_3,bitcoin_obv,bitcoin_stockprice_momentum_7,bitcoin_stockprice_roc_7,bitcoin_stockprice_momentum_21,bitcoin_stockprice_roc_21,bitcoin_mfi_14,bitcoin_volatility_std_10,bitcoin_avg_volume_20,bitcoin_volume_spike_20
2021-07-11,33658.28359375,34012.59921875,33920.29423828125,35639.7471875,44865.161171875,34016.86279828356,34774.84444309601,-757.9816448124475,-929.582584552844,171.60093974039637,57.82056940521833,33920.29423828125,36007.9667473215,31832.621729241,2101.019861150177,17.10078128511238,24.6115461285473,18.006103492981655,25.26491485322611,47.789507258446775,45.67843605861358,1740276938391,-1047.59375,-2.968715268829769,-1458.109375,-4.08453484519351,53.54462569086001,0.002656233140476095,33145392082.55,0.6066825011427941
2021-07-12,33518.3875,33938.479296875,33952.80361328125,35607.4525,44620.6807421875,33884.3989302784,34654.91875518149,-770.5198249030946,-897.7700326228941,127.2502077197995,43.50109927743727,33952.80361328125,35966.66819871674,31938.93902784576,2086.2932750858786,15.991384616146076,25.238352890509223,22.42790964378685,25.06227162398045,23.19531135790765,34.46434881226781,1715955438854,-590.15625,-1.7488181760409782,1479.154296875,4.669535042985262,46.38291851290922,0.0027276680817571097,31413249406.5,0.7742433526143723
2021-07-13,33483.318359375,33741.8271484375,33901.753515625,35487.3733984375,44360.11544921875,33702.49530879326,34510.25998743656,-807.7646786433033,-879.768961826976,72.00428318367267,42.83041964461126,33901.753515625,35990.51376132381,31812.99326992619,2013.3924440529588,15.38680001339418,25.83055941103616,25.33825442357609,25.081984681094426,14.431842845151296,28.472220487168585,1696834582185,-1533.169921875,-4.478344311694949,196.365234375,0.6040955126925596,38.56351928697293,0.0033351983709891584,30053436793.7,0.6362286217131825
2021-07-14,33288.185546875,33495.2837890625,33809.7490234375,35375.7758984375,44097.76013671875,33567.08797763276,34385.22944438571,-818.1414667529534,-867.4434628121714,49.30199605921803,36.18119116982985,33809.7490234375,35919.42833718568,31700.06970968932,1971.1696578706049,14.593788729104364,26.754281221138456,29.410060751729667,25.391132971854088,27.526783418044875,21.71797920703462,1718211113395,-1032.98046875,-3.051160706332689,-900.6796875,-2.670815043735764,40.10974160889157,0.003737732782360404,29466094948.4,0.7254619673028895
2021-07-15,32940.227734375,33298.7564453125,33816.89658203125,35225.5065234375,43833.64384765625,33292.26374549695,34192.30359433862,-900.0398488416686,-873.9627400180709,-26.07710882359765,35.18246007617802,33816.89658203125,35896.34435198597,31737.44881207653,1972.081228067348,13.545111292575584,26.510265501733148,32.368074517775405,25.8894859394199,12.7055774831824,18.22140124879287,1696910589158,-1096.640625,-3.3355483985411216,-2881.70703125,-8.313630659269133,42.13120753994679,0.0037609223869441003,28519575948.95,0.746873806087717
2021-07-16,32376.498046875,33017.3908203125,33778.65966796875,35085.1979296875,43587.36986328125,33004.4599481128,33987.06177716539,-982.60182905259,-895.6905578249748,-86.91127122761509,39.22658394879417,33778.65966796875,36007.13881407702,31550.180521860475,1911.0563133393227,12.979238379257591,25.683203544862664,32.85867248255593,26.38728497821533,6.633706024940954,15.622022308722755,1673211112240,-2376.47265625,-7.031397811284901,-216.240234375,-0.6834873976011346,44.1816605598248,0.0035753247479072174,27775280518.8,0.8532578780602684
2021-07-17,32051.9421875,32785.16484375,33622.830859375,35001.9071875,43319.461015625,32778.09201138391,33805.2844869587,-1027.1924755747896,-921.9909413749378,-105.20153419985172,38.07601583656416,33622.830859375,36024.03582173296,31221.625897017035,1825.4062251097284,12.617650188749794,24.96769599157882,32.85867248255594,26.84952694281109,8.93951073475392,9.426264747625773,1692106131182,-1987.451171875,-5.9290583787705575,-653.208984375,-2.029464226007616,37.5796101139433,0.0033104597385663274,26944449421.2,0.7012583054353794
2021-07-18,31870.89921875,32677.1087890625,33490.95458984375,34945.5220703125,43054.97908203125,32627.125632228694,33656.50863954509,-1029.383007316399,-943.46935456323,-85.91365275316889,34.80148382528925,33490.95458984375,35992.13169037188,30989.777489315624,1779.5560594768906,13.876874351181009,23.781631090779825,26.301513093407262,26.810383096425102,16.639379581790994,10.737532113828635,1710894117849,-2443.376953125,-7.135991743985048,-2852.833984375,-8.23337157702172,35.9595764496913,0.0027517484441827306,26189222566.95,0.7173938294262261
2021-07-19,31469.99609375,32379.0908203125,33238.45732421875,34848.3161328125,42765.22505859375,32348.77277053966,33446.2362981899,-1097.4635276502377,-974.2681891806316,-123.195338469606,26.79913317593801,33238.45732421875,35748.926483382944,30727.98816505455,1746.8824123713985,13.126682287732017,25.160965580170043,31.431242091334653,27.14044445320436,5.678412708666325,10.41910100840376,1690459328304,-2338.015625,-7.051593580836335,-3616.50390625,-10.502609699847651,36.90163327033922,0.00266776795436867,25315889042.0,0.807192254283384
2021-07-20,31075.31953125,32007.7736328125,32976.78291015625,34697.8059765625,42461.24888671875,31957.78429141817,33176.68899137953,-1218.9046999613563,-1023.1954913367769,-195.7092086245798,28.328635193518267,32976.78291015625,35771.18099257271,30182.384827739803,1739.621698764513,12.239935994937154,28.39985914476128,39.76379087117622,28.04211205448806,7.919383089714293,10.07905846005722,1667311061059,-2894.677734375,-8.851677227321964,-6060.4296875,-16.89658556039865,28.841439402158898,0.002379113296945754,24770350599.3,0.9345151233206268
2021-07-21,31213.150390625,31794.82421875,32903.71171875,34606.321328125,42183.4212890625,31981.308763411533,33097.72635197179,-1116.4175885602565,-1041.8399107814728,-74.57767777878348,41.29118771701527,32903.71171875,35708.971375827714,30098.45206167228,1845.8017615759763,17.46902595827318,24.854284351080043,17.449623715219563,27.28550574454032,52.564185373594064,22.05399372399157,1695514085618,-711.654296875,-2.16820047221542,-2930.142578125,-8.362079555839653,37.31707599592327,0.0023220844934288107,24288553973.3,1.16116523816128
2021-07-22,31369.1578125,31710.55,32824.5146484375,34501.07984375,41871.5177734375,32032.35441038668,33039.606286547954,-1007.2518761612736,-1034.922303857433,27.67042769615932,42.95896797892649,32824.5146484375,35600.98327918364,30048.04601769136,1773.3231759276923,16.884226632418336,24.02225348869343,17.44962371521956,26.58294274244597,56.43350912400243,38.972359195770274,1715069316136,532.375,1.675150294369354,-1259.01171875,-3.750170749489612,44.95966140981694,0.0019801359890973193,23329866752.1,0.8382058382840858
2021-07-23,31726.105859375,31798.5025390625,32770.16484375,34388.535546875,41576.236328125,32270.692313596424,33079.75032319255,-809.0580095961268,-989.749445005172,180.69143540904508,53.574909575246025,32770.16484375,35434.95540929756,30105.374278202435,1755.4899635846432,19.92730252584003,22.532978441154786,6.136737336571543,25.122499499169223,80.68119662108555,63.2262970395607,1737621362328,2160.01171875,6.87430273371894,-315.49609375,-0.9307480233114008,44.00540449038474,0.002126341041879506,23238271129.55,0.9704700520221838
