date,sp500_stockprice,sp500_volume,sp500_volatility
2015-07-14,2108.949951171875,3002120000.0,0.0077323233595993
2015-07-15,2107.39990234375,3261810000.0,0.0077313061984554
2015-07-16,2124.2900390625,3227080000.0,0.0078606938472308
2015-07-17,2126.639892578125,3362750000.0,0.0076829918357335
2015-07-18,2126.639892578125,3362750000.0,0.0076829918357335
2015-07-19,2126.639892578125,3362750000.0,0.0076829918357335
2015-07-20,2128.280029296875,3245870000.0,0.0076745013446853
2015-07-21,2119.2099609375,3343690000.0,0.0076144877569418
2015-07-22,2114.14990234375,3694070000.0,0.0076344750512627
2015-07-23,2102.14990234375,3772810000.0,0.0074000732771924
2015-07-24,2079.64990234375,3870040000.0,0.0076438810744663
2015-07-25,2079.64990234375,3870040000.0,0.0076438810744663
2015-07-26,2079.64990234375,3870040000.0,0.0076438810744663
2015-07-27,2067.639892578125,3836750000.0,0.0076108119730327
2015-07-28,2093.25,4117740000.0,0.007910446109506
2015-07-29,2108.570068359375,4038900000.0,0.0079548744826779
2015-07-30,2108.6298828125,3579410000.0,0.0079477664849418
2015-07-31,2103.840087890625,3681340000.0,0.0077418621689137
2015-08-01,2103.840087890625,3681340000.0,0.0077418621689137
2015-08-02,2103.840087890625,3681340000.0,0.0077418621689137
2015-08-03,2098.0400390625,3476770000.0,0.0076983808130834
2015-08-04,2093.320068359375,3546710000.0,0.0076143502036327
2015-08-05,2099.840087890625,3968680000.0,0.0076400602425779
2015-08-06,2083.56005859375,4246570000.0,0.0076531194430546
2015-08-07,2077.570068359375,3602320000.0,0.0076519900142959
2015-08-08,2077.570068359375,3602320000.0,0.0076519900142959
2015-08-09,2077.570068359375,3602320000.0,0.0076519900142959
2015-08-10,2104.179931640625,3514460000.0,0.0080182384231702
2015-08-11,2084.070068359375,3708880000.0,0.0072078871912258
2015-08-12,2086.050048828125,4269130000.0,0.0071964131870291
2015-08-13,2083.389892578125,3221300000.0,0.0070942302538499
2015-08-14,2091.5400390625,2795590000.0,0.0071275728389515
2015-08-15,2091.5400390625,2795590000.0,0.0071275728389515
2015-08-16,2091.5400390625,2795590000.0,0.0071275728389515
2015-08-17,2102.43994140625,2867690000.0,0.0071397197090076
2015-08-18,2096.919921875,2949990000.0,0.0070839511248556
2015-08-19,2079.610107421875,3512920000.0,0.006526752034992
2015-08-20,2035.72998046875,3922470000.0,0.007637479041971
2015-08-21,1970.8900146484373,5018240000.0,0.0092845844326552
2015-08-22,1970.8900146484373,5018240000.0,0.0092845844326552
2015-08-23,1970.8900146484373,5018240000.0,0.0092845844326552
2015-08-24,1893.2099609375,6612690000.0,0.0113409251569177
2015-08-25,1867.6099853515625,5183560000.0,0.0113867017945264
2015-08-26,1940.510009765625,5338250000.0,0.0137604645011078
2015-08-27,1987.6600341796875,5006390000.0,0.0144834805654312
2015-08-28,1988.8699951171875,3949080000.0,0.0144798338968721
2015-08-29,1988.8699951171875,3949080000.0,0.0144798338968721
2015-08-30,1988.8699951171875,3949080000.0,0.0144798338968721
2015-08-31,1972.1800537109373,3915100000.0,0.0145113905166567
2015-09-01,1913.8499755859373,4371850000.0,0.0153545140139935
2015-09-02,1948.8599853515625,3742620000.0,0.0158498990782378
2015-09-03,1951.1300048828125,3520700000.0,0.0158548996105964
2015-09-04,1921.219970703125,3167090000.0,0.0159620015568836
2015-09-05,1921.219970703125,3167090000.0,0.0159620015568836
2015-09-06,1921.219970703125,3167090000.0,0.0159620015568836
2015-09-07,1921.219970703125,3167090000.0,0.0159620015568836
2015-09-08,1969.4100341796875,3548650000.0,0.016711849661055
2015-09-09,1942.0400390625,3652120000.0,0.0166455870918005
2015-09-10,1952.2900390625,3626320000.0,0.0166085271775978
2015-09-11,1961.050048828125,3218590000.0,0.0166522998225754
2015-09-12,1961.050048828125,3218590000.0,0.0166522998225754
2015-09-13,1961.050048828125,3218590000.0,0.0166522998225754
2015-09-14,1953.030029296875,3000200000.0,0.0166550834166561
2015-09-15,1978.0899658203125,3239860000.0,0.016885200103311
2015-09-16,1995.31005859375,3630680000.0,0.0169960750282712
2015-09-17,1990.199951171875,4183790000.0,0.0169734303454964
2015-09-18,1958.030029296875,6021240000.0,0.0171473948540008
2015-09-19,1958.030029296875,6021240000.0,0.0171473948540008
2015-09-20,1958.030029296875,6021240000.0,0.0171473948540008
2015-09-21,1966.969970703125,3269350000.0,0.0171889897560154
2015-09-22,1942.739990234375,3808260000.0,0.0170671960922525
2015-09-23,1938.760009765625,3190530000.0,0.0170168916192367
2015-09-24,1932.239990234375,4091530000.0,0.0170057610449817
2015-09-25,1931.3399658203125,3721870000.0,0.0170085018516187
2015-09-26,1931.3399658203125,3721870000.0,0.0170085018516187
2015-09-27,1931.3399658203125,3721870000.0,0.0170085018516187
2015-09-28,1881.77001953125,4326660000.0,0.0174882279235317
2015-09-29,1884.0899658203125,4132390000.0,0.0174349417800399
2015-09-30,1920.030029296875,4525070000.0,0.0179149236042827
2015-10-01,1923.8199462890625,3983600000.0,0.0179071798567355
2015-10-02,1951.3599853515625,4378570000.0,0.0178005924399835
2015-10-03,1951.3599853515625,4378570000.0,0.0178005924399835
2015-10-04,1951.3599853515625,4378570000.0,0.0178005924399835
2015-10-05,1987.050048828125,4334490000.0,0.0171476384816349
2015-10-06,1979.9200439453125,4202400000.0,0.0153785994617037
2015-10-07,1995.8299560546875,4666470000.0,0.0151511114229574
2015-10-08,2013.4300537109373,3939140000.0,0.0136072972616095
2015-10-09,2014.8900146484373,3706900000.0,0.0129094502759914
2015-10-10,2014.8900146484373,3706900000.0,0.0129094502759914
2015-10-11,2014.8900146484373,3706900000.0,0.0129094502759914
2015-10-12,2017.4599609375,2893250000.0,0.0129102988809417
2015-10-13,2003.68994140625,3401920000.0,0.0128759394379778
2015-10-14,1994.239990234375,3644590000.0,0.0115681420179098
2015-10-15,2023.8599853515625,3746290000.0,0.0114145949647709
2015-10-16,2033.1099853515625,3595430000.0,0.0114304520215249
2015-10-17,2033.1099853515625,3595430000.0,0.0114304520215249
2015-10-18,2033.1099853515625,3595430000.0,0.0114304520215249
2015-10-19,2033.6600341796875,3287320000.0,0.0109844064771866
2015-10-20,2030.77001953125,3331500000.0,0.0101094055564198
2015-10-21,2018.93994140625,3627790000.0,0.0097965242312144
2015-10-22,2052.510009765625,4430850000.0,0.0101610409696914
2015-10-23,2075.14990234375,4108460000.0,0.0102912376274846
2015-10-24,2075.14990234375,4108460000.0,0.0102912376274846
2015-10-25,2075.14990234375,4108460000.0,0.0102912376274846
2015-10-26,2071.179931640625,3385800000.0,0.0102551264633578
2015-10-27,2065.889892578125,4216880000.0,0.010078956012777
2015-10-28,2090.35009765625,4698110000.0,0.0101710978066114
2015-10-29,2089.409912109375,4008940000.0,0.0101488980206132
2015-10-30,2079.360107421875,4256200000.0,0.0096545157012186
2015-10-31,2079.360107421875,4256200000.0,0.0096545157012186
2015-11-01,2079.360107421875,4256200000.0,0.0096545157012186
2015-11-02,2104.050048828125,3760020000.0,0.0098100168954167
2015-11-03,2109.7900390625,4272060000.0,0.0094122426096598
2015-11-04,2102.31005859375,4078870000.0,0.0094425790870956
2015-11-05,2099.929931640625,4051890000.0,0.0094017671924416
2015-11-06,2099.199951171875,4369020000.0,0.0094003870054207
2015-11-07,2099.199951171875,4369020000.0,0.0094003870054207
2015-11-08,2099.199951171875,4369020000.0,0.0094003870054207
2015-11-09,2078.580078125,3882350000.0,0.0080638351009129
2015-11-10,2081.719970703125,3821440000.0,0.0080615224446522
2015-11-11,2075.0,3692410000.0,0.0075860366534032
2015-11-12,2045.969970703125,4016370000.0,0.0081748545470733
2015-11-13,2023.0400390625,4278750000.0,0.0081915701770878
2015-11-14,2023.0400390625,4278750000.0,0.0081915701770878
2015-11-15,2023.0400390625,4278750000.0,0.0081915701770878
2015-11-16,2053.18994140625,3741240000.0,0.007973956630009
2015-11-17,2050.43994140625,4427350000.0,0.0079388167437254
2015-11-18,2083.580078125,3926390000.0,0.0083042232220278
2015-11-19,2081.239990234375,3628110000.0,0.0081983194986512
2015-11-20,2089.169921875,3929600000.0,0.0082126579605739
2015-11-21,2089.169921875,3929600000.0,0.0082126579605739
2015-11-22,2089.169921875,3929600000.0,0.0082126579605739
2015-11-23,2086.590087890625,3587980000.0,0.008224721460584
2015-11-24,2089.139892578125,3884930000.0,0.0080857964585105
2015-11-25,2088.8701171875,2852940000.0,0.0080090122513071
2015-11-26,2088.8701171875,2852940000.0,0.0080090122513071
2015-11-27,2090.110107421875,1466840000.0,0.0076117496777512
2015-11-28,2090.110107421875,1466840000.0,0.0076117496777512
2015-11-29,2090.110107421875,1466840000.0,0.0076117496777512
2015-11-30,2080.409912109375,4275030000.0,0.0076519566541631
2015-12-01,2102.6298828125,3712120000.0,0.0078594736800114
2015-12-02,2079.510009765625,3950640000.0,0.0081577592236683
2015-12-03,2049.6201171875,4306490000.0,0.0085431227650649
2015-12-04,2091.68994140625,4214910000.0,0.0088143585921313
2015-12-05,2091.68994140625,4214910000.0,0.0088143585921313
2015-12-06,2091.68994140625,4214910000.0,0.0088143585921313
2015-12-07,2077.070068359375,4043820000.0,0.0086976834215313
2015-12-08,2063.590087890625,4173570000.0,0.0087732888041368
2015-12-09,2047.6199951171875,4385250000.0,0.0088741873360467
2015-12-10,2052.22998046875,3715150000.0,0.0085935763191451
2015-12-11,2012.3699951171875,4301060000.0,0.0092668911353606
2015-12-12,2012.3699951171875,4301060000.0,0.0092668911353606
