date,target_bitcoin_change_volatility_next
2021-04-27,0.5937062511288227
2021-04-28,-1.6832848083058185
2021-04-29,-0.1052733507858061
2021-04-30,9.251602163483952
2021-05-01,-0.0128570411209616
2021-05-02,0.4796635340675426
2021-05-03,-1.0174017249116374
2021-05-04,5.597018774436768
2021-05-05,6.807393178607191
2021-05-06,0.1094001209607897
2021-05-07,-1.2001124639896
2021-05-08,-1.0489078345899183
2021-05-09,0.1077676480671696
2021-05-10,0.9922818086296026
2021-05-11,0.2342984693719962
2021-05-12,19.23316294264601
2021-05-13,-3.125008655502237
2021-05-14,0.1022777376521233
2021-05-15,2.3869263957038367
2021-05-16,-0.2496142565922898
2021-05-17,2.3072133240135795
2021-05-18,-3.356493250634096
2021-05-19,14.053495297899987
2021-05-20,6.78109356319696
2021-05-21,2.5676872704872844
2021-05-22,-0.2752717278924566
2021-05-23,2.150572636512882
2021-05-24,6.637114577130832
2021-05-25,-0.0713252871944014
2021-05-26,-4.644051772195645
2021-05-27,-0.3730828492630511
2021-05-28,1.7343955026819513
2021-05-29,0.0870311563965442
2021-05-30,-2.920719545809225
2021-05-31,1.67300407091302
2021-06-01,-0.0153138007687236
2021-06-02,0.4181024967464086
2021-06-03,-0.1701904817674515
2021-06-04,-2.47975413148982
2021-06-05,0.238300642542355
2021-06-06,-0.2317821243947859
2021-06-07,0.3231086193070442
2021-06-08,0.0881262714643726
2021-06-09,7.242823239372242
2021-06-10,-0.3590870067665008
2021-06-11,-7.410185996127416
2021-06-12,0.5241744789068248
2021-06-13,5.294804805044118
2021-06-14,-0.9829773997740764
2021-06-15,0.0404325250110026
2021-06-16,-0.6323929306946474
2021-06-17,-0.0448806258959266
2021-06-18,-8.691183422785375
2021-06-19,-5.80281998861738
2021-06-20,-4.8036992195329535
2021-06-21,8.942468863741881
2021-06-22,-2.6182398678065377
2021-06-23,-6.840608506479418
2021-06-24,0.696732053903637
2021-06-25,4.554488901328391
2021-06-26,0.2095633446425493
2021-06-27,0.6367035055414805
2021-06-28,-0.560131582789436
2021-06-29,0.480922860204358
2021-06-30,-1.052027152299273
2021-07-01,0.9051394392619816
2021-07-02,-0.3670513616238158
2021-07-03,-0.9407350589020868
2021-07-04,-1.9522813108271757
2021-07-05,0.4065854854711448
2021-07-06,0.1015870975756394
