date,bitcoin_stockprice,bitcoin_volume,bitcoin_volatility
2015-04-13,224.5870056152344,31181800,0.0312118933636408
2015-04-14,219.15899658203125,31719000,0.0310355347894331
2015-04-15,223.8329925537109,22562000,0.0312286372017841
2015-04-16,228.572998046875,24805400,0.0316396957660462
2015-04-17,222.8820037841797,20429800,0.0256093782500838
2015-04-18,223.3560028076172,12939000,0.0252902189856302
2015-04-19,222.6000061035156,15021500,0.0252441593618315
2015-04-20,224.62600708007807,18364700,0.0253800278151917
2015-04-21,235.2689971923828,24978000,0.0263066976584385
2015-04-22,234.17599487304688,23847900,0.026306730843317
2015-04-23,236.4620056152344,17036000,0.0218613711490698
2015-04-24,231.2680053710937,21448700,0.022178278501861
2015-04-25,226.38999938964844,13957200,0.0223375023471483
2015-04-26,219.42999267578125,28943700,0.0229170942853257
2015-04-27,229.28599548339844,38574000,0.0240533406870523
2015-04-28,225.85499572753903,21469200,0.0231137944760425
2015-04-29,225.80799865722656,18936500,0.022742402740875
2015-04-30,236.1450042724609,33818600,0.0242585556094029
2015-05-01,232.07899475097656,18815300,0.024295135605729
2015-05-02,234.92999267578125,12535500,0.0239913709340331
2015-05-03,240.3580017089844,18494100,0.0243987139275345
2015-05-04,239.0180053710937,21223400,0.024407962229301
2015-05-05,236.1210021972656,23929100,0.0238524497721202
2015-05-06,229.7819976806641,29587200,0.0240671365133509
2015-05-07,237.33399963378903,29064400,0.0249111319181445
2015-05-08,243.86300659179688,27445500,0.0247738809392281
2015-05-09,241.83200073242188,19790500,0.0248006099665617
2015-05-10,240.29600524902344,15019100,0.0241146845539023
2015-05-11,242.1580047607422,20892300,0.0241487310412488
2015-05-12,241.11199951171875,19282600,0.0241628493232404
2015-05-13,236.3769989013672,27180100,0.0225375105797503
2015-05-14,236.9290008544922,24413700,0.0219888415167792
2015-05-15,237.60499572753903,16329400,0.0217099413588642
2015-05-16,236.1529998779297,11089700,0.0214557532896284
2015-05-17,236.802001953125,11134300,0.0208732636189949
2015-05-18,233.1280059814453,16780300,0.0211205990073747
2015-05-19,231.947006225586,14241900,0.0211361225302624
2015-05-20,234.0180053710937,15499400,0.021133997529352
2015-05-21,235.343994140625,15108900,0.0193849962456755
2015-05-22,240.34800720214844,27003000,0.019736183938693
2015-05-23,238.8719940185547,14605000,0.0197035764166527
2015-05-24,240.9530029296875,11508000,0.0192872706995747
2015-05-25,237.1100006103516,14423900,0.0190975280858231
2015-05-26,237.11599731445312,16425000,0.0180733656482779
2015-05-27,237.2830047607422,18837000,0.0162988370634337
2015-05-28,237.4080047607422,13829600,0.0160097980813512
2015-05-29,237.0959930419922,14805000,0.0160155338557319
2015-05-30,233.34500122070312,14098600,0.0140978847017181
2015-05-31,230.19000244140625,14730800,0.0139579839845417
2015-06-01,222.92599487304688,26090500,0.0149014788799263
2015-06-02,225.8029937744141,20459000,0.0144363866849562
2015-06-03,225.87399291992188,17752400,0.0144271549662846
2015-06-04,224.32400512695312,14728100,0.0143285688179131
2015-06-05,224.95199584960932,18056500,0.0135107808852843
2015-06-06,225.61900329589844,11131500,0.0120149063583855
2015-06-07,222.8809967041016,13318400,0.0108509997382418
2015-06-08,228.488998413086,23378400,0.0119259246047688
2015-06-09,229.04800415039065,28353100,0.011920336529306
2015-06-10,228.8029937744141,15904800,0.0117907577627311
2015-06-11,229.7050018310547,14416000,0.011828303518482
