date,target_sp500_change_volume_next
2015-02-10,3.3894532812702494
2015-02-11,-1.988909628458924
2015-02-12,5.323810212240687
2015-02-13,-6.886903269233303
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,-4.697444329473132
2015-02-18,0.2460028259091196
2015-02-19,-3.647456098183388
2015-02-20,1.062486526438966
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,-5.726474890297418
2015-02-24,3.431511985725733
2015-02-25,3.5158007900395027
2015-02-26,2.9088197467651344
2015-02-27,4.068718481293399
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,-3.887094137081448
2015-03-03,-4.317067948578823
2015-03-04,4.868037887380061
2015-03-05,-9.29756716387371
2015-03-06,24.18732658079361
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,-13.091237475898977
2015-03-10,9.549161115407468
2015-03-11,-7.1500994848592185
2015-03-12,-0.0208420786891205
2015-03-13,2.7217795211782025
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,-5.801243940364032
2015-03-17,-2.238135696079624
2015-03-18,28.13206118242992
2015-03-19,-19.93575908202344
2015-03-20,68.0408565844331
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,-41.16151613576948
2015-03-24,-2.391094138239147
2015-03-25,10.386792985184124
2015-03-26,-0.2973468819757241
2015-03-27,-14.302682963650817
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,-3.020059497099936
2015-03-31,15.726824988261257
2015-04-01,4.937584220580171
2015-04-02,-12.624214355665808
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,6.686455897363008
2015-04-07,-7.1892872172620415
2015-04-08,6.518328108536586
2015-04-09,-2.8471854299565447
2015-04-10,-0.5093999419990114
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,-7.850579811165326
2015-04-14,13.507333878875816
2015-04-15,21.58230014509568
2015-04-16,-14.441321852826272
2015-04-17,5.634048897534161
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,-17.29628404454736
2015-04-21,8.107900911951372
2015-04-22,3.239491769464853
2015-04-23,8.606591647553508
2015-04-24,-7.173870601401832
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,1.865346675435009
2015-04-28,3.1267175572519124
