date,sp500_stockprice_sma_5,sp500_stockprice_sma_10,sp500_stockprice_sma_20,sp500_stockprice_sma_50,sp500_stockprice_sma_100,sp500_stockprice_ema_12,sp500_stockprice_ema_26,sp500_stockprice_macd_line,sp500_stockprice_macd_signal,sp500_stockprice_macd_hist,sp500_stockprice_rsi_14,sp500_stockprice_bb_mean_20,sp500_stockprice_bb_upper_20,sp500_stockprice_bb_lower_20,sp500_atr_14,sp500_pdi_14,sp500_mdi_14,sp500_dx_14,sp500_adx_14,sp500_stoch_k_14,sp500_stoch_d_3,sp500_obv,sp500_stockprice_momentum_7,sp500_stockprice_roc_7,sp500_stockprice_momentum_21,sp500_stockprice_roc_21,sp500_mfi_14,sp500_volatility_std_10,sp500_avg_volume_20,sp500_volume_spike_20
2022-04-10,4489.23984375,4519.15390625,4532.435498046875,4406.279013671875,4472.18099609375,4510.359677896331,4488.335478986261,22.02419891007048,37.28976837251658,-15.265569462446102,42.6850482621203,4532.435498046875,4619.441059386098,4445.429936707653,70.00746450706302,24.51860530532161,24.78282880439416,0.535934712334212,14.880151025095955,20.42069526580932,20.42069526580932,501740310000.0,-57.580078125,-1.2666487717779784,25.15966796875,0.5637237472471357,37.24366471270282,0.00048229985215417074,4502671500.0,0.9068394174436221
2022-04-11,4475.5158203125,4505.8208984375,4527.481494140625,4407.55220703125,4468.6444921875,4495.308925167088,4482.72024240626,12.588682760828306,32.349551250178926,-19.76086848935062,35.04912195908642,4527.481494140625,4629.472387872557,4425.490600408692,70.81771014684182,24.238080942123457,24.49928138470905,0.5359347123342144,13.855564145612975,1.812818347027055,14.218069626215218,497474020000.0,-170.1103515625,-3.712060002256734,-48.650390625,-1.090527365137861,37.24366471270282,0.00046716867662744684,4478244000.0,0.9526702877288509
2022-04-12,4454.9638671875,4490.979931640625,4524.5419921875,4408.52380859375,4464.9571923828125,4480.2537359586895,4476.403942621537,3.849793337152733,26.64959966757369,-22.79980633042096,29.349980240640093,4524.5419921875,4637.930179233426,4411.153805141574,72.16359915421026,21.7010939450658,25.219381029768485,7.498404665745007,13.401481325622408,6.537491405598299,9.590335006144876,493321930000.0,-127.669921875,-2.821359843909532,-114.15966796875,-2.530353275842045,24.194991147414328,0.00046171924321336777,4458315000.0,0.9313137362434014
2022-04-13,4446.62587890625,4481.0529296875,4520.8634765625,4411.36041015625,4461.457490234375,4475.074675618891,4474.195490853274,0.8791847656166283,21.49551668718228,-20.61633192156565,28.909525324392675,4520.8634765625,4639.502151345877,4402.224801779124,71.3818939690881,20.37169016296528,23.67444782925436,7.498404665745008,12.979832992774025,29.427684908489923,12.59266488703841,497150080000.0,-34.56005859375,-0.7712319236558907,-9.650390625,-0.2165590299768371,35.140655079790605,0.00046237320001904194,4443153000.0,0.8615841048012526
2022-04-14,4427.487890625,4462.047900390625,4513.3399658203125,4414.70220703125,4457.44798828125,4462.384701485215,4468.150628104883,-5.76592661966788,16.043228025812244,-21.809154645480124,26.47541970416877,4513.3399658203125,4644.477711260971,4382.202220379654,71.26104021459967,19.604192056960063,22.02069818160324,5.80543542768168,12.467376023838856,5.303842984148323,13.756339766078831,493066990000.0,-107.6201171875,-2.391446579640921,-127.5703125,-2.822252046171625,36.01643747715052,0.0004156582092087365,4432056500.0,0.9212630750533076
2022-04-15,4408.34990234375,4448.794873046875,4505.816455078125,4416.78,4454.3680859375,4451.647031064413,4462.553532967484,-10.90650190307133,10.65328204003553,-21.55978394310685,31.802521095087783,4505.816455078125,4646.679589932124,4364.9533202241255,71.26104021459967,19.604192056960063,22.02069818160324,5.80543542768168,11.991523124113344,5.303842984148323,13.345123625595509,493066990000.0,-95.68994140625,-2.1319959090500107,-150.47021484375,-3.3120894926123023,41.43645734033037,0.00030325839340259554,4420960000.0,0.9235754225326626
2022-04-16,4404.3619140625,4439.9388671875,4498.292944335937,4416.938798828125,4451.333486328125,4442.561309939119,4457.371037469892,-14.80972753077367,5.56068012587369,-20.37040765664736,28.901793935972137,4498.292944335937,4646.654255327946,4349.931633343928,71.26104021459967,19.604192056960063,22.02069818160324,5.80543542768168,11.549659717225367,5.303842984148323,5.303842984148323,493066990000.0,-95.68994140625,-2.1319959090500107,-150.47021484375,-3.3120894926123023,41.43645734033037,0.00022165853728863327,4409863500.0,0.9258994070904916
2022-04-17,4403.38984375,4429.17685546875,4489.146435546875,4417.09759765625,4448.489086914063,4434.87339206387,4452.572430527677,-17.699038463807483,0.9087364079374556,-18.607774871744937,28.901793935972137,4489.146435546875,4639.995663318191,4338.297207775559,71.26104021459967,19.604192056960063,22.02069818160324,5.80543542768168,11.139357982257964,5.303842984148323,5.303842984148323,493066990000.0,-95.68994140625,-2.1319959090500107,-150.47021484375,-3.3120894926123023,41.43645734033037,0.00014809311928924986,4398405000.0,0.9283115129234347
2022-04-18,4392.40986328125,4419.51787109375,4477.150927734375,4417.2383984375,4445.635688476563,4428.22978427039,4448.062616518682,-19.832832248292107,-3.239577323308457,-16.59325492498365,28.82488691464709,4477.150927734375,4618.136521223419,4336.165334245331,68.52179224685933,20.38789518979341,22.90100429684417,5.805435427681668,10.758363514073944,9.585525106561754,6.731070358286119,489156500000.0,-20.83984375,-0.4722878884603876,-183.830078125,-4.017687111853851,41.43645734033037,0.0001543698734352618,4339634000.0,0.9011105544845487
2022-04-19,4406.33388671875,4416.910888671875,4470.138916015625,4419.003798828125,4443.487490234375,4433.457503757638,4449.110567957114,-15.65306419947592,-5.72227469854195,-9.93078950093397,35.74173074698626,4470.138916015625,4598.246940605695,4342.030891425555,69.37022868235152,26.45743554748457,20.49988256906933,12.687166169984105,10.89613513235324,60.92399712586014,25.271121738856724,493264620000.0,64.759765625,1.4726662667841284,-169.39013671875,-3.657270341722018,56.16648448618729,0.0003988809712185493,4325761500.0,0.9496871244519607
2022-04-20,4419.70595703125,4414.0279296875,4466.59091796875,4422.067607421875,4441.379091796875,4437.456379381463,4449.876466279736,-12.42008689827253,-7.061837138488066,-5.358249759784464,40.40517708035669,4466.59091796875,4591.562724371402,4341.619111566098,67.23880330771928,27.179972976467525,19.63902127689967,16.106607627577382,11.268311739154964,59.09464594351409,43.20138939197864,488974170000.0,12.8603515625,0.2892183001896642,-143.0,-3.107040683365625,72.18510161339287,0.0005380324411451427,4299133000.0,0.9979802904446082
2022-04-21,4419.92001953125,4412.140966796875,4458.980932617187,4422.210009765625,4438.184995117187,4430.7184988997,4445.712295166422,-14.993796266722711,-8.648228964134995,-6.345567302587716,37.49283420229786,4458.980932617187,4582.151645687534,4335.81021954684,71.61244068306077,23.69713469649724,23.534927937281385,0.3434251018710497,10.487962693634683,15.562119014006624,45.19358736112694,484337280000.0,1.0703125,0.024366320054292,-136.75,-3.018490496083326,56.0992728846731,0.0006609085700501673,4302830500.0,1.077637150708121
2022-04-22,4395.7580078125,4399.57392578125,4445.276928710938,4420.37580078125,4433.639291992187,4406.266389093015,4432.828405536039,-26.562016443023825,-12.230986459912762,-14.33102998311106,25.079316071968663,4445.276928710938,4587.29449115923,4303.259366262645,75.50012628159215,20.871417773969902,31.783416060484743,20.723640152054912,11.219082512093271,1.6956102027208582,25.450791720080503,479685340000.0,-120.81005859375,-2.75031502806129,-274.080078125,-6.029224093308638,41.40176336927346,0.0006346486352818582,4307280500.0,1.0800178906388846
2022-04-23,4371.7759765625,4382.092919921875,4431.572924804687,4419.233994140625,4429.766791992188,4385.5761423335125,4420.898878100499,-35.322735766986625,-16.849336321327534,-18.47339944565909,26.25155594214573,4431.572924804687,4585.148574492866,4277.997275116509,75.50012628159215,20.871417773969902,31.783416060484743,20.723640152054912,11.897979486376247,1.6956102027208582,6.317779806482766,479685340000.0,-120.81005859375,-2.75031502806129,-274.080078125,-6.029224093308638,41.40176336927346,0.0006246769745134905,4311730500.0,1.0789032385024993
2022-04-24,4333.68994140625,4370.0119140625,4416.0299072265625,4418.0921875,4425.856088867187,4368.069010460087,4409.853019363888,-41.784008903800895,-21.836270837822205,-19.94773806597869,26.25155594214573,4416.0299072265625,4568.146114810371,4263.913699642754,75.50012628159215,20.871417773969902,31.783416060484743,20.723640152054912,12.528383819639007,1.6956102027208582,1.6956102027208582,479685340000.0,-120.81005859375,-2.75031502806129,-274.080078125,-6.029224093308638,41.40176336927346,0.0005970931367496399,4316960000.0,1.0775962714502798
2022-04-25,4301.02392578125,4360.36494140625,4404.579907226563,4417.4371875,4422.1887890625,4356.999949956612,4401.428359943415,-44.42840998680276,-26.35469866761832,-18.073711319184444,30.26196038218368,4404.579907226563,4556.596181794277,4252.563632658848,77.3593880994183,20.36979242371288,31.01953085697981,20.72364015205492,13.113759271954432,30.53321068423803,11.3081436965599,484925380000.0,-95.56982421875,-2.1761514472523946,-286.52001953125,-6.252291495365014,41.40176336927346,0.0005626337330355168,4338931000.0,1.2076799561919744
2022-04-26,4257.33193359375,4338.6259765625,4389.282421875,4416.91939453125,4417.312290039063,4329.03075693444,4384.670718118903,-55.63996118446266,-32.21175117098719,-23.42821001347547,26.93445891845444,4389.282421875,4568.073289802501,4210.4915539475,80.482294529817,17.863188489981447,30.01011503158056,25.37306943133383,13.989424283338677,0.0473975425530223,10.758739476503957,480235410000.0,-287.009765625,-6.4320094333862325,-349.919921875,-7.732831677681206,40.96374664993429,0.0006035349628042984,4324088000.0,1.0846148367008257
2022-04-27,4239.76796875,4317.76298828125,4373.469921875,4417.18458984375,4412.523388671875,4306.712172934911,4369.803254623985,-63.09108168907369,-38.387617274604494,-24.703464414469195,29.524425168559603,4373.469921875,4566.3380358398745,4180.601807910126,80.29142053438365,16.626678737822314,29.01278810702419,27.1390316878789,14.92868195509155,6.016471330009681,12.199026518933564,485005090000.0,-275.490234375,-6.177672634724751,-297.18994140625,-6.632001782640939,27.54974006441961,0.0005744022122926072,4321497500.0,1.1037099986752277
2022-04-28,4242.91201171875,4307.343994140625,4363.430932617188,4417.3769921875,4409.627290039062,4303.756454021847,4363.70671724443,-59.95026322258309,-42.700146464200216,-17.250116758382873,37.002770677975576,4363.430932617188,4551.990523214688,4174.871342019687,83.44847866585624,20.653255871538427,25.921223750652167,11.310846458934554,14.67026513393748,35.59595581978624,13.886608230782969,489859270000.0,-106.16015625,-2.4162122803009,-212.7099609375,-4.726667484047509,41.96348265411943,0.0005657706561952861,4360046500.0,1.11333216285652
2022-04-29,4214.94208984375,4274.316015625,4345.613452148437,4414.8251953125,4405.618994140625,4277.321641984832,4346.538084543454,-69.21644255862157,-48.003405683084495,-21.21303687553707,30.156648098770887,4345.613452148437,4551.086476865406,4140.140427431468,89.14645982142008,17.952220112656477,27.687291843577977,21.330358966714737,15.145986121992998,1.968401057318311,14.52694273570473,484775240000.0,-139.849609375,-3.273801937566045,-356.349609375,-7.939558727010032,36.38424709744928,0.0007862788119300403,4410088000.0,1.1528182657579622
