date,tesla_stockprice_sma_5,tesla_stockprice_sma_10,tesla_stockprice_sma_20,tesla_stockprice_sma_50,tesla_stockprice_sma_100,tesla_stockprice_ema_12,tesla_stockprice_ema_26,tesla_stockprice_macd_line,tesla_stockprice_macd_signal,tesla_stockprice_macd_hist,tesla_stockprice_rsi_14,tesla_stockprice_bb_mean_20,tesla_stockprice_bb_upper_20,tesla_stockprice_bb_lower_20,tesla_atr_14,tesla_pdi_14,tesla_mdi_14,tesla_dx_14,tesla_adx_14,tesla_stoch_k_14,tesla_stoch_d_3,tesla_obv,tesla_stockprice_momentum_7,tesla_stockprice_roc_7,tesla_stockprice_momentum_21,tesla_stockprice_roc_21,tesla_mfi_14,tesla_volatility_std_10,tesla_avg_volume_20,tesla_volume_spike_20
2019-06-17,14.449333381652831,14.212933444976809,13.483699989318849,14.371760139465332,16.22455334663391,14.107578915513765,13.94718329434017,0.1603956211735919,-0.0859663462102354,0.2463619673838273,78.3822155536379,13.483699989318849,15.273438565478491,11.693961413159204,0.6812347963114862,20.05425895509849,20.058845720392483,0.0114345806217182,18.403372273886617,95.84300415267926,86.45654288307757,-3323662500.0,0.8099994659423846,5.707436892156137,2.293333053588867,18.0454259240374,77.19133649046687,0.000372274113778563,179978925.0,1.0265201884053925
2019-06-18,14.593733406066894,14.347866821289063,13.599966669082642,14.34945348739624,16.184953346252442,14.242207846865387,14.023885788781588,0.2183220580837996,-0.0251086653514284,0.2434307234352281,85.21639989852676,13.599966669082642,15.464239701940905,11.73569363622438,0.6905751876219658,24.59847180919452,18.053087702354382,15.346177682126305,18.185001231618024,76.68456168109968,84.76362602735189,-3514399500.0,0.509333610534668,3.5191175239961625,2.40266704559326,19.099102227064524,77.48037321395593,0.000376350769340078,180539325.0,1.05648450829203
2019-06-19,14.747200012207031,14.49406681060791,13.727333307266235,14.333106803894044,16.141960010528564,14.373457885711517,14.103252256232228,0.2702056294792889,0.033954193614715,0.2362514358645738,81.61936476413553,13.727333307266235,15.636520712461367,11.818145902071103,0.6732007696401442,23.430945297033382,18.25725040447338,12.41045529915561,17.772533665013565,74.7723189527997,82.43329492885952,-3415773000.0,1.144665718078615,8.205096478854234,2.437999725341797,19.261558918447143,69.15266364896831,0.0004137336173760047,179525775.0,0.5493723672826367
2019-06-20,14.809866523742675,14.539000034332275,13.84219994544983,14.31392011642456,16.099466667175292,14.414669384270171,14.1431100614256,0.2715593228445723,0.0814752194606865,0.1900841033838857,69.97569902442733,13.84219994544983,15.67589796620196,12.0085019246977,0.6753531328569407,21.68796540011696,20.220146318191272,3.502470098848299,16.753243410287475,51.600487949175545,67.68578952769161,-3593725500.0,0.3806657791137677,2.6693406640218686,2.0933322906494123,16.68259670582597,53.16851042617428,0.00040765732774115254,180618375.0,0.9852402890901881
2019-06-21,14.902399826049804,14.57073335647583,13.964533281326291,14.28426679611206,16.054733333587645,14.472515106720945,14.19107721096446,0.2814378957564845,0.1214677547198461,0.1599701410366383,66.45677669245929,13.964533281326291,15.70127594423754,12.227790618415046,0.6589231577125135,20.640978248123627,19.85829286043252,1.9325912942807293,15.69462540200128,52.69924324210741,59.69068338136086,-3470694000.0,0.4626665115356445,3.2291074073031334,2.446666717529297,19.820696247155546,39.17540146820576,0.00040683561180575946,178964925.0,0.6874615235359666
2019-06-22,14.860133171081545,14.654733276367187,14.08686661720276,14.240040111541749,16.009333324432372,14.521461487256214,14.235491238315255,0.2859702489409592,0.1543682535640687,0.1316019953768905,68.37426725623301,14.08686661720276,15.681882893759344,12.491850340646174,0.6589231577125135,20.640978248123627,19.85829286043252,1.9325912942807293,14.711622965735526,52.69924324210741,52.33299147779677,-3470694000.0,0.4626665115356445,3.2291074073031334,2.446666717529297,19.820696247155546,39.17540146820576,0.0003408059662800918,177311475.0,0.6938721817073599
2019-06-23,14.821733093261718,14.707733249664306,14.229833316802978,14.195813426971435,15.973619995117188,14.562877655401444,14.27661533771414,0.2862623176873029,0.1807470663887156,0.1055152512985873,68.37426725623301,14.229833316802978,15.488452717123357,12.9712139164826,0.6589231577125135,20.640978248123627,19.85829286043252,1.9325912942807293,13.79883498920304,52.69924324210741,52.69924324210741,-3470694000.0,0.4626665115356445,3.2291074073031334,2.446666717529297,19.820696247155546,39.17540146820576,0.000129153364771187,173664750.0,0.70844255958679
2019-06-24,14.78453311920166,14.765866565704346,14.329966640472412,14.153960075378418,15.93909333229065,14.616178512888135,14.32348332966605,0.2926951832220847,0.2031366897553894,0.0895584934666953,69.60754444674161,14.329966640472412,15.45714289883213,13.202790382112694,0.6313818413974589,21.541352116535016,20.724525446304234,1.9325912942807253,12.951246153851448,59.23614996467059,54.87821214962846,-3384432000.0,-0.0926666259765642,-0.6176951531260189,2.978000640869139,24.95949734747489,39.17540146820576,0.00013374456101215038,167622225.0,0.5146214948524875
2019-06-25,14.786400032043456,14.798133277893069,14.407200002670288,14.106520080566408,15.90198000907898,14.621484463297923,14.34771917121314,0.2737652920847839,0.2172624102212683,0.0565028818635156,57.342450502773765,14.407200002670288,15.382738130881084,13.431661874459492,0.6141403058206943,20.20492056500549,20.89457763298568,1.6780182197306897,12.146015587128538,44.98719474235826,52.30752931637874,-3477163500.0,-0.3319997787475586,-2.2158924003840785,1.7440004348754885,13.512399970414425,26.773896658819027,0.0003971852002559409,162125700.0,0.5719728580971432
2019-06-26,14.751866722106934,14.827133274078369,14.45160002708435,14.069466743469238,15.86850001335144,14.620948396716331,14.36773997560606,0.2532084211102727,0.2244516123990692,0.0287568087112035,52.61135064983788,14.45160002708435,15.376900943467868,13.526299110700831,0.6137493820947324,20.240063399401244,19.414465849976008,2.081975413787573,11.42715557474704,43.18768173615658,49.13700881439512,-3604771500.0,-0.4773330688476562,-3.162123457002275,1.5120000839233398,11.536701435103035,41.41219134565931,0.0005909499504360921,153324450.0,0.8322743045874288
