date,nasdaq_stockprice,nasdaq_volume,nasdaq_volatility
2015-05-06,4919.64013671875,2144620000.0,0.0089533052980443
2015-05-07,4945.5400390625,2042960000.0,0.0078337238297511
2015-05-08,5003.5498046875,1978760000.0,0.0080686731254573
2015-05-09,5003.5498046875,1978760000.0,0.0080686731254573
2015-05-10,5003.5498046875,1978760000.0,0.0080686731254573
2015-05-11,4993.56982421875,1731390000.0,0.008034368275709
2015-05-12,4976.18994140625,1705870000.0,0.0078051796618194
2015-05-13,4981.68994140625,1672260000.0,0.0075901963486496
2015-05-14,5050.7998046875,1741970000.0,0.0079052256546623
2015-05-15,5048.2900390625,1667260000.0,0.0079107365980979
2015-05-16,5048.2900390625,1667260000.0,0.0079107365980979
2015-05-17,5048.2900390625,1667260000.0,0.0079107365980979
2015-05-18,5078.43994140625,1643870000.0,0.0079054467462609
2015-05-19,5070.02978515625,1750980000.0,0.0079078997069135
2015-05-20,5071.740234375,1786830000.0,0.0077917540749396
2015-05-21,5090.7900390625,1683670000.0,0.0077758054459683
2015-05-22,5089.35986328125,1544920000.0,0.0077490799757486
2015-05-23,5089.35986328125,1544920000.0,0.0077490799757486
2015-05-24,5089.35986328125,1544920000.0,0.0077490799757486
2015-05-25,5089.35986328125,1544920000.0,0.0077490799757486
2015-05-26,5032.75,1731950000.0,0.0080363798738211
2015-05-27,5106.58984375,1809550000.0,0.0084301036776987
2015-05-28,5097.97998046875,1741420000.0,0.0083670583692261
2015-05-29,5070.02978515625,2024170000.0,0.008438034460808
2015-05-30,5070.02978515625,2024170000.0,0.008438034460808
2015-05-31,5070.02978515625,2024170000.0,0.008438034460808
2015-06-01,5082.93017578125,1902120000.0,0.0079051460181529
2015-06-02,5076.52001953125,1729750000.0,0.0076006550964615
2015-06-03,5099.22998046875,1852680000.0,0.0076099818163978
2015-06-04,5059.1201171875,1813960000.0,0.0077301879919787
2015-06-05,5068.4599609375,1842890000.0,0.0077007146291914
2015-06-06,5068.4599609375,1842890000.0,0.0077007146291914
2015-06-07,5068.4599609375,1842890000.0,0.0077007146291914
2015-06-08,5021.6298828125,1712210000.0,0.0077664826435795
2015-06-09,5013.8701171875,1754340000.0,0.007692238024226
2015-06-10,5076.68994140625,1792980000.0,0.008035070452594
2015-06-11,5082.509765625,1623950000.0,0.007943587908628
2015-06-12,5051.10009765625,1428900000.0,0.0073917176838912
2015-06-13,5051.10009765625,1428900000.0,0.0073917176838912
2015-06-14,5051.10009765625,1428900000.0,0.0073917176838912
2015-06-15,5029.97021484375,1790280000.0,0.0070756447951303
2015-06-16,5055.5498046875,1654820000.0,0.0071224391540797
2015-06-17,5064.8798828125,1712820000.0,0.0064660957055443
2015-06-18,5132.9501953125,1877920000.0,0.0067867057687169
2015-06-19,5117.0,2468310000.0,0.0067954615278356
