date,nasdaq_stockprice_sma_5,nasdaq_stockprice_sma_10,nasdaq_stockprice_sma_20,nasdaq_stockprice_sma_50,nasdaq_stockprice_sma_100,nasdaq_stockprice_ema_12,nasdaq_stockprice_ema_26,nasdaq_stockprice_macd_line,nasdaq_stockprice_macd_signal,nasdaq_stockprice_macd_hist,nasdaq_stockprice_rsi_14,nasdaq_stockprice_bb_mean_20,nasdaq_stockprice_bb_upper_20,nasdaq_stockprice_bb_lower_20,nasdaq_atr_14,nasdaq_pdi_14,nasdaq_mdi_14,nasdaq_dx_14,nasdaq_adx_14,nasdaq_stoch_k_14,nasdaq_stoch_d_3,nasdaq_obv,nasdaq_stockprice_momentum_7,nasdaq_stockprice_roc_7,nasdaq_stockprice_momentum_21,nasdaq_stockprice_roc_21,nasdaq_mfi_14,nasdaq_volatility_std_10,nasdaq_avg_volume_20,nasdaq_volume_spike_20
2023-08-12,13726.805859375,13831.58701171875,14012.5025390625,13914.4585546875,13434.903515625,13853.198154859152,13928.711255096085,-75.51310023693259,-11.00727073895156,-64.50582949798103,13.989225044965451,14012.5025390625,14466.662738923444,13558.342339201554,189.83344757271087,23.34534944848336,27.54558964762841,8.253414603359051,19.53719705245933,4.582439244756106,5.562286564849129,528402890000.0,-264.390625,-1.900827223809043,-387.9599609375,-2.764663476644469,25.117911024254767,0.0002243929423936478,4908725500.0,0.9450273803250966
2023-08-13,13678.91171875,13800.1,13991.801513671877,13917.50515625,13448.99791015625,13821.144532476976,13907.684466524152,-86.53993404717585,-26.11380340059642,-60.42613064657942,13.989225044965451,13991.801513671877,14473.94369389553,13509.65933344822,189.83344757271087,23.34534944848336,27.54558964762841,8.253414603359051,18.73121259180931,4.582439244756106,4.582439244756106,528402890000.0,-264.390625,-1.900827223809043,-387.9599609375,-2.764663476644469,25.117911024254767,0.0002013715943935672,4936516000.0,0.9397072753334538
2023-08-14,13692.173828125,13788.008984375,13973.9900390625,13923.4213671875,13464.527109375,13816.096154884364,13898.843400716809,-82.74724583244279,-37.440491886965695,-45.30675394547709,26.21221824965025,13973.9900390625,14458.68435790818,13489.295720216822,191.21244839312408,23.1769856399927,27.34693421989837,8.253414603359047,17.98279844977715,28.32451579698479,12.496464762165658,532674910000.0,-206.0703125,-1.4725197703936543,-270.5400390625,-1.924336997265197,25.117911024254767,0.00019935545351187252,4959493500.0,0.8613823165611569
2023-08-15,13670.7857421875,13760.18994140625,13949.178515625,13929.3267578125,13478.483505859374,13787.627485623309,13879.006838047968,-91.37935242465936,-48.22826399450443,-43.15108843015494,20.111252586580022,13949.178515625,14451.323104242285,13447.033927007717,190.1536769677224,21.26317372911752,25.088793784860407,8.253414603359031,17.287842460747285,8.807244877717006,13.90473330648596,528201590000.0,-253.2705078125,-1.824147686829736,-513.509765625,-3.630440121322598,25.33137303687197,0.00016427927978307125,4967059500.0,0.9005972245752241
2023-08-16,13636.741796875,13716.72890625,13920.4044921875,13927.70595703125,13490.66060546875,13739.4740082678,13849.052989512007,-109.57898124420716,-60.49840744444498,-49.08057379976219,18.66499444423586,13920.4044921875,14462.555941861376,13378.253042513625,188.8062742602065,19.885279954542696,28.71819615779924,18.173424844840653,17.351098345325383,0.2475449525312151,12.459768542410991,521957830000.0,-247.3896484375,-1.802866173409124,-652.650390625,-4.619787942142917,25.00175239027081,0.0001353318968456941,5023455500.0,1.2429213317406713
2023-08-17,13571.1578125,13648.9818359375,13870.41796875,13922.20955078125,13502.034404296875,13674.46718968814,13809.636448622228,-135.16925893408916,-75.43257774237382,-59.73668119171533,21.125903081288243,13870.41796875,14442.275360138188,13298.560577361812,191.86580098715604,18.17045813859024,32.55485658016769,28.357435574979643,18.13726529030069,1.652365241791445,3.569051690679879,516677650000.0,-421.060546875,-3.064935552373804,-733.1806640625,-5.218326729946032,25.589732586164544,0.00016687608128294345,5064788500.0,1.0425272447210776
2023-08-18,13500.3439453125,13589.62783203125,13819.123974609374,13916.1985546875,13511.877802734374,13615.438433341886,13771.202657867803,-155.76422452591942,-91.49890709908294,-64.26531742683648,21.084028074949146,13819.123974609374,14406.280450235245,13231.967498983506,190.59755459968065,16.984839249015593,35.74066624612102,35.57258829663655,19.38264550503896,15.444332741045544,5.781414311789392,511875740000.0,-354.0693359375,-2.5948936490602925,-1025.8798828125,-7.165636898663463,12.896346416176245,0.00019896240830150245,5082208000.0,0.9448472002720077
2023-08-19,13400.833984375,13546.50390625,13767.82998046875,13906.25576171875,13521.5005078125,13565.491024125826,13735.615814576671,-170.12479045084547,-107.22408376943544,-62.900706681410014,22.08316031410594,13767.82998046875,14351.206502461391,13184.45345847611,190.59755459968065,16.984839249015593,35.74066624612102,35.57258829663655,20.53906999015308,15.444332741045544,10.84701024129417,511875740000.0,-354.0693359375,-2.5948936490602925,-1025.8798828125,-7.165636898663463,12.896346416176245,0.0002125150388100738,5099627500.0,0.9416197555605778
2023-08-20,13332.780078125,13501.78291015625,13715.068017578124,13896.31296875,13531.560908203124,13523.227831712236,13702.665033751548,-179.43720203931116,-121.6667074234106,-57.77049461590056,22.08316031410594,13715.068017578124,14268.365417810324,13161.770617345926,190.59755459968065,16.984839249015593,35.74066624612102,35.57258829663655,21.612892726330465,15.444332741045544,15.444332741045544,511875740000.0,-354.0693359375,-2.5948936490602925,-1025.8798828125,-7.165636898663463,12.896346416176245,0.00021323574746266887,5093001000.0,0.942844896358748
2023-08-21,13337.3720703125,13487.05693359375,13675.752001953126,13890.5063671875,13543.689404296874,13519.283525871891,13687.474278936616,-168.19075306472587,-130.97151655167366,-37.21923651305221,35.12696260869315,13675.752001953126,14167.142286952938,13184.361716953314,193.5037704839108,16.72974546198942,35.20388036490699,35.57258829663655,22.610013838495185,42.759092322039166,24.54925260137674,516238810000.0,-290.740234375,-2.108596419781505,-848.4296875,-5.914042467681446,12.896346416176245,0.00028820696167156063,5079466000.0,0.8589623397420123
